Date,Total,Turistes,Excursionistes
12/2021,1120.0,558.3,561.7
11/2021,1049.2,616.1,433.2
10/2021,1375.0,868.8,506.3
09/2021,1514.8,877.8,637.0
08/2021,1894.7,1076.8,817.9
07/2021,1546.1,815.7,730.5
06/2021,903.8,404.3,499.5
05/2021,596.2,251.2,345.0
04/2021,287.6,93.5,194.1
03/2021,308.6,85.6,222.9
02/2021,199.8,54.3,145.5
01/2021,193.8,85.4,108.4
12/2020,294.7,97.5,197.2
11/2020,154.9,58.8,96.1
10/2020,755.5,231.0,524.5
09/2020,773.9,275.2,498.7
08/2020,1103.2,458.3,644.9
07/2020,1004.1,436.9,567.2
06/2020,224.3,76.8,147.5
05/2020,0.0,0.0,0.0
04/2020,0.0,0.0,0.0
03/2020,645.5,399.1,246.4
02/2020,1619.7,966.4,653.4
01/2020,1423.1,870.2,553.0
12/2019,1633.5,993.2,640.4
11/2019,1660.6,1047.2,613.4
10/2019,2392.6,1676.4,716.1
09/2019,2786.0,2011.7,774.3
08/2019,3076.5,2363.3,713.2
07/2019,3408.2,2378.6,1029.7
06/2019,2818.9,2176.7,642.2
05/2019,2665.3,1835.1,830.2
04/2019,2509.8,1671.4,838.3
03/2019,1969.5,1280.9,688.6
02/2019,1629.5,1030.3,599.2
01/2019,1360.0,910.3,449.7
12/2018,1490.5,969.3,521.2
11/2018,1542.2,1034.6,507.6
10/2018,2330.9,1665.2,665.7
09/2018,2751.1,2007.5,743.6
08/2018,3393.1,2433.3,959.8
07/2018,3456.4,2427.8,1028.6
06/2018,2754.4,2104.4,650.0
05/2018,2698.0,1885.4,812.6
04/2018,2462.4,1570.9,891.5
03/2018,1845.1,1217.3,627.8
02/2018,1490.9,1015.8,475.1
01/2018,1280.8,864.8,416.0
12/2017,1197.1,822.8,374.3
11/2017,1360.6,981.5,379.1
10/2017,2057.7,1497.0,560.6
09/2017,2546.6,1999.7,546.9
08/2017,3429.6,2567.6,862.0
07/2017,3563.0,2557.1,1005.9
06/2017,2720.0,2026.4,693.7
05/2017,2692.6,1920.9,771.6
04/2017,2400.9,1755.0,645.9
03/2017,1617.6,1155.0,462.6
02/2017,1475.5,989.2,486.3
01/2017,1293.8,846.2,447.6
12/2016,1576.2,956.5,619.7
11/2016,1613.1,1010.0,603.1
10/2016,2358.6,1562.9,795.7
09/2016,2640.6,1876.9,763.7
08/2016,3382.2,2501.2,881.0
07/2016,3545.3,2394.8,1150.5
06/2016,2772.6,1850.8,921.8
05/2016,2543.6,1630.4,913.1
04/2016,2385.4,1483.0,902.4
03/2016,1830.0,1076.4,753.6
02/2016,1598.4,930.4,668.1
01/2016,1556.2,865.8,690.4
